FR;EN;group;stage;type
une corvée;a chore;;1.0;mot regulier
Je fais la pizza dont tu as envie.;I'm making the pizza for which you're in the mood.;;1.0;mot regulier
pourrir;to rot;;1.0;mot regulier
Tu as pris de bonnes résolutions pour cette année ?;Do you have any New Year's resolutions?;;1.0;mot regulier
Qu'est- ce que vous conseillez contre les fourches ?;What do you recommend for split ends?;;1.0;mot regulier
déranger;to disturb;;1.0;mot regulier
l'engrais;the fertiliser;;1.0;mot regulier
perdre la boule;to lose [one's] marbles;;1.0;mot regulier
le sentier;the track;;1.0;mot regulier
produire;to produce;;1.0;mot regulier
le chocolat en poudre;chocolate powder;;1.0;mot regulier
une demoiselle d'honneur;a bridesmaid;;1.0;mot regulier
la chimie;chemistry;;1.0;mot regulier
la voile;sail;;1.0;mot regulier
Elle est en train de flirter.;She is flirting.;;1.0;mot regulier
La ville est entourée de montagnes.;The city is surrounded by mountains.;;1.0;mot regulier
Tu es sûr de n'avoir cueilli que des champignons comestibles ?;Are you sure you've picked only the edible mushrooms?;;1.0;mot regulier
composter;to validate;;1.0;mot regulier
l'étable;the barn;;1.0;mot regulier
Mes problèmes dentaires se sont arrêtés.;I don't have dental problems anymore. (lit. My dental problems have stopped.);;1.0;mot regulier
une overdose;an overdose;;1.0;mot regulier
la touche;the key;;1.0;mot regulier
râper;to grate;;1.0;mot regulier
seul;lonely;;1.0;mot regulier
La ville sombre dans le smog.;The city is hidden in smog.;;1.0;mot regulier
le préservatif;the condom;;1.0;mot regulier
le rapace;the bird of prey;;1.0;mot regulier
être enterré;to be buried;;1.0;mot regulier
allemand (m);German;;1.0;mot regulier
Les spectateurs encouragent la dernière coureuse.;The spectators cheer for the last runner.;;1.0;mot regulier
Je me demande où je dois aller.;I wonder where I should go.;;1.0;mot regulier
concevoir;to design;;1.0;mot regulier
Mets des chaussures chaudes !;Wear warm shoes!;;1.0;mot regulier
le story board;the story board;;1.0;mot regulier
le coffre;boot / [US: trunk];;1.0;mot regulier
Le Seigneur des anneaux a gagné l'Oscar de la meilleure musique de film.;The Lord of the Rings won the Oscar for the Best Original Score.;;1.0;mot regulier
aller jusqu'à;to go as far as;;1.0;mot regulier
la pâte à tartiner;spread;;1.0;mot regulier
une plume;a feather;;1.0;mot regulier
Tu aurais cent euros ?;Would you (happen to) have one hundred euros?;;1.0;mot regulier
C'est insupportable comme ça pue à cause de la décharge.;It stinks unbearably because of the rubbish tip.;;1.0;mot regulier
Le record mondial de saut en hauteur vient d'être battu.;The world record in high jump has just been beaten.;;1.0;mot regulier
retirer;to withdraw;;1.0;mot regulier
Je prendrais volontiers une tarte aux fraises. (prendre);I would happily have a strawberry tart.;;1.0;mot regulier
l'artisanat d'art;the arts and crafts;;1.0;mot regulier
l'humeur;the mood;;1.0;mot regulier
la tortue;the turtle;;1.0;mot regulier
un pantin;a puppet;;1.0;mot regulier
le jour polaire;the polar day;;1.0;mot regulier
Ma fille veut s'acheter un rat.;My daughter wants to buy herself a rat.;;1.0;mot regulier
disposer;to arrange;;1.0;mot regulier
un parachutiste;a paratrooper;;1.0;mot regulier
entrer en collision avec;to collide with;;1.0;mot regulier
échouer;to fail;;1.0;mot regulier
le programme de troisième cycle;the postgraduate programme;;1.0;mot regulier
le policier;the policeman;;1.0;mot regulier
la cannelle;the cinnamon;;1.0;mot regulier
le ventre;the stomach;;1.0;mot regulier
la cornemuse;bagpipes;;1.0;mot regulier
un char;a float;;1.0;mot regulier
l'œnologie;œnology;;1.0;mot regulier
la sauce au jus de viande;gravy;;1.0;mot regulier
Les remonte-pentes marchent à partir de quelle heure ?;What time do the first lifts go up?;;1.0;mot regulier
Liquidation totale !;Everything must go!;;1.0;mot regulier
s'étonner;to be surprised;;1.0;mot regulier
le gilet;the cardigan;;1.0;mot regulier
foncer;to speed;;1.0;mot regulier
Si vous voulez de l'argent, prenez celui-ci.;If you want money (masc.), take this.;;1.0;mot regulier
Comment fête-t-on Noël dans ton pays ?;How is Christmas celebrated in your country?;;1.0;mot regulier
l'artisanat;the craft;;1.0;mot regulier
Lors d'un marathon, il faut courir plus de quarante kilomètres.;More than forty kilometres have to be run for the marathon.;;1.0;mot regulier
orange;orange;;1.0;mot regulier
Vous en revenez. (de l'église);You're coming back from there.;;1.0;mot regulier
Mon plus grand rêve, c'est de devenir célèbre.;My biggest dream is to become famous.;;1.0;mot regulier
la représentante de commerce;the sales representative (fem.);;1.0;mot regulier
La police suspecte un homme petit et roux.;The police suspect a short, red-headed man.;;1.0;mot regulier
Y a-t-il une navette pour aller à l'aéroport ?;Is there an express bus to the airport?;;1.0;mot regulier
se surpasser;to outdo oneself;;1.0;mot regulier
la belle-fille;step-daughter;;1.0;mot regulier
le chéquier;the cheque book;;1.0;mot regulier
la poignée de main;the handshake;;1.0;mot regulier
le biberon;the baby bottle;;1.0;mot regulier
la vitrine;the glass case;;1.0;mot regulier
la Corée du Sud;South Korea;;1.0;mot regulier
le divertissement;the fun;;1.0;mot regulier
la diarrhée;the diarrhoea;;1.0;mot regulier
la sardine;the tent peg;;1.0;mot regulier
un engorgement;a congestion;;1.0;mot regulier
le pied;foot;;1.0;mot regulier
creux;hollow;;1.0;mot regulier
Cela me gratte partout.;It itches everywhere.;;1.0;mot regulier
chasseur;with a mushroom sauce;;1.0;mot regulier
le tracteur;the tractor;;1.0;mot regulier
la peur;fear;;1.0;mot regulier
la noix de muscade;the nutmeg;;1.0;mot regulier
Ils vécurent heureux et eurent beaucoup d'enfants.;They lived happily ever after.;;1.0;mot regulier
le portail;the portal;;1.0;mot regulier
retour à l'expéditeur;return to sender;;1.0;mot regulier
la chute d'eau;the waterfall;;1.0;mot regulier
une pièce jointe;an attachment;;1.0;mot regulier
S'occuper de [quelqu'un/quelque chose];To look after [someone/something];;1.0;mot regulier
le cartable;the school bag;;1.0;mot regulier
la cocotte minute;the pressure cooker;;1.0;mot regulier
le maillot vert;the green jersey;;1.0;mot regulier
la réclamation;the complaint;;1.0;mot regulier
haïr;to hate;;1.0;mot regulier
une couronne;a wreath;;1.0;mot regulier
envisager de [faire];to consider [doing];;1.0;mot regulier
la déclaration d'impôts;the tax return;;1.0;mot regulier
Le député a posé son veto.;The delegate filed a veto.;;1.0;mot regulier
une excursion;an excursion;;1.0;mot regulier
Vous avez une prise électrique ?;Is there an electricity hook-up?;;1.0;mot regulier
ficeler;to tie up (string);;1.0;mot regulier
la paix;the peace;;1.0;mot regulier
Où est-ce que je peux vidanger les WC chimiques ?;Where can I empty the chemical toilet?;;1.0;mot regulier
la une;the front page;;1.0;mot regulier
la cour pénale internationale;the International Criminal Court;;1.0;mot regulier
Je vais me déguiser en déesse.;I will dress up as a goddess.;;1.0;mot regulier
en amont;upriver;;1.0;mot regulier
les beaux-parents;parents-in-law;;1.0;mot regulier
l'athée;the atheist (fem.);;1.0;mot regulier
octobre;October;;1.0;mot regulier
le maillot de bain;the swimming trunks;;1.0;mot regulier
Nous venons sûrement à ta fête.;We're definitely coming to your party.;;1.0;mot regulier
le baume à lèvres;lip balm;;1.0;mot regulier
le frein à main;handbrake;;1.0;mot regulier
le traitement de texte;word processing;;1.0;mot regulier
le plateau;the tray;;1.0;mot regulier
pinger quelqu'un;to ping someone;;1.0;mot regulier
des trésors;treasures;;1.0;mot regulier
moulu;powdered;;1.0;mot regulier
mettre la table;to lay the table;;1.0;mot regulier
le collège;the lower secondary school;;1.0;mot regulier
Se dépêcher de [faire];To hurry [to do];;1.0;mot regulier
Je voudrais un forfait de ski pour deux jours.;I would like a two-day ski pass.;;1.0;mot regulier
la batterie;drumkit / drums;;1.0;mot regulier
écarter;To discard. To dismiss;;1.0;mot regulier
Il m'invite toujours à ses concerts.;He always invites me to his concerts.;;1.0;mot regulier
le gravier;the grit;;1.0;mot regulier
la graine;the seed;;1.0;mot regulier
le virement;the transfer;;1.0;mot regulier
La Belgique se trouve entre les Pays-Bas, l'Allemagne et la France.;Belgium is between the Netherlands, Germany and France.;;1.0;mot regulier
du coup;as a result;;1.0;mot regulier
un enterrement;funerals;;1.0;mot regulier
la maison mitoyenne;the terraced house;;1.0;mot regulier
Se moquer de [quelqu'un];To make fun of [someone];;1.0;mot regulier
Le montage de la scène doit être professionnel.;The stage design must be professional.;;1.0;mot regulier
Un vin de qualité doit répondre à certains critères légaux.;A quality wine must comply with certain legal requirements.;;1.0;mot regulier
le tatou;the armadillo;;1.0;mot regulier
le caïd;the bully;;1.0;mot regulier
un contrôle;a test;;1.0;mot regulier
les tongs;the flip-flops;;1.0;mot regulier
vingt-deux;twenty-two;;1.0;mot regulier
le maquillage;make-up;;1.0;mot regulier
le chantier;the roadworks;;1.0;mot regulier
J'ai un sentiment bizarre.;I have a strange feeling.;;1.0;mot regulier
les gants en caoutchouc;the rubber gloves;;1.0;mot regulier
en ordre;okay;;1.0;mot regulier
le colin;hake;;1.0;mot regulier
le conducteur;the driver (masc.);;1.0;mot regulier
les échanges de banalités;the small talk;;1.0;mot regulier
féerique;fairy-like/magical;;1.0;mot regulier
le brouillon;the draft;;1.0;mot regulier
la buanderie;laundry room;;1.0;mot regulier
la sélection à l'entrée;the door policy;;1.0;mot regulier
C'est une nouvelle annonce ?;Is that a new advert?;;1.0;mot regulier
Je ne veux pas en parler.;I don't want to speak about it.;;1.0;mot regulier
débourrer;to break in;;1.0;mot regulier
des choux de Bruxelles;Brussels sprouts;;1.0;mot regulier
le commerce de détail;the retail;;1.0;mot regulier
Le voisin est en train de tailler la haie.;The neighbour is cutting the hedge.;;1.0;mot regulier
des épinards;spinach;;1.0;mot regulier
bien cuit;well done;;1.0;mot regulier
Notre pique-nique a attiré les fourmis.;Our picnic attracted ants.;;1.0;mot regulier
une réalisatrice;a director (f);;1.0;mot regulier
l'impôt;the tax;;1.0;mot regulier
l'ancêtre;the ancestor;;1.0;mot regulier
les cendres;the ashes;;1.0;mot regulier
le cache-oreilles;the earmuffs;;1.0;mot regulier
les cotillons;party novelties;;1.0;mot regulier
l'environnement;the environment;;1.0;mot regulier
le chevreuil;the deer;;1.0;mot regulier
un illustrateur;an illustrator (m);;1.0;mot regulier
un tour;a trick;;1.0;mot regulier
la coupe courte;the short hairstyle;;1.0;mot regulier
la surprise;the surprise;;1.0;mot regulier
se connecter;to log in;;1.0;mot regulier
l'uniforme scolaire;the school uniform;;1.0;mot regulier
mettre de l'argent de côté;to put money aside;;1.0;mot regulier
Marc travaille en ayant mal à la tête.;Marc is working and has a headache.;;1.0;mot regulier
la styliste de mode;the fashion designer (fem.);;1.0;mot regulier
la laque;the hairspray;;1.0;mot regulier
le sport de combat;the martial art;;1.0;mot regulier
se faire beau;to dress up;;1.0;mot regulier
renverser;to overthrow;;1.0;mot regulier
le favori;the bookmark;;1.0;mot regulier
la presse à sensation;the tabloid;;1.0;mot regulier
défendre;to defend;;1.0;mot regulier
l'écorce;the bark;;1.0;mot regulier
Dans ce magasin, il est facile de trouver des choses bon marché.;It is easy to find cheap things in this shop.;;1.0;mot regulier
terrifiant;terrifying;;1.0;mot regulier
la pêche;fishing;;1.0;mot regulier
la trompette;trumpet;;1.0;mot regulier
la patinoire;an ice rink;;1.0;mot regulier
couper en tranches;to slice;;1.0;mot regulier
La fête est ennuyeuse, allons voir ailleurs !;The party is boring, let's go somewhere else!;;1.0;mot regulier
marron;brown;;1.0;mot regulier
la menuisière;the carpenter (fem.);;1.0;mot regulier
le demi-frère;half-brother;;1.0;mot regulier
le volant;the steering wheel;;1.0;mot regulier
l'aire de jeu;the playground;;1.0;mot regulier
le cuir;the leather;;1.0;mot regulier
la sève;the sap;;1.0;mot regulier
le micro-ondes;the microwave;;1.0;mot regulier
On devrait servir ce vin rouge à 16°C maximum.;You should serve this red wine at 16°C maximum.;;1.0;mot regulier
être en position de hors-jeu;to be offside;;1.0;mot regulier
la flûte à bec;recorder;;1.0;mot regulier
le pâté de maisons;the block;;1.0;mot regulier
Entendre parler de [quelque chose];To hear about [something];;1.0;mot regulier
les chaussures à crampons;football shoes / soccer cleats;;1.0;mot regulier
répliquer;to reply;;1.0;mot regulier
les États-Unis;USA;;1.0;mot regulier
la couche d'ozone;the ozone layer;;1.0;mot regulier
avant-gardiste;avant-garde;;1.0;mot regulier
gercer;chap;;1.0;mot regulier
les petits pois;peas;;1.0;mot regulier
exiger;to claim;;1.0;mot regulier
le tronc;the trunk;;1.0;mot regulier
l'ail;garlic;;1.0;mot regulier
à bientôt;see you soon;;1.0;mot regulier
renoncer à [faire];to give up [doing];;1.0;mot regulier
l'aigle;the eagle;;1.0;mot regulier
accrocher;to hang;;1.0;mot regulier
impartial;unbiased (m);;1.0;mot regulier
une cicatrice;scar;;1.0;mot regulier
la courbe;the curve;;1.0;mot regulier
percer;to drill;;1.0;mot regulier
la céramique;the ceramics;;1.0;mot regulier
le phare;the headlight;;1.0;mot regulier
muet;mute (m);;1.0;mot regulier
la soudeuse;the welder (fem.);;1.0;mot regulier
entasser;to stack up (something);;1.0;mot regulier
le traducteur de braille;the braille translator (masc.);;1.0;mot regulier
le mannequin;the model (masc.);;1.0;mot regulier
la reproduction;the print;;1.0;mot regulier
la récréation;the break;;1.0;mot regulier
la formule;set menu / prix-fixed menu;;1.0;mot regulier
le cimetière;the cemetery;;1.0;mot regulier
le tableau de bord;dashboard;;1.0;mot regulier
le battement de [son] cœur;[one's] heartbeat;;1.0;mot regulier
le satellite;the satellite;;1.0;mot regulier
le classeur;the ring binder;;1.0;mot regulier
la pellicule;the film;;1.0;mot regulier
désinfecter;to disinfect;;1.0;mot regulier
le nez;the odour tester (lit. the nose);;1.0;mot regulier
désinstaller;to uninstall;;1.0;mot regulier
décorer;to decorate;;1.0;mot regulier
en aval;downriver;;1.0;mot regulier
des souvenirs;memories;;1.0;mot regulier
J'aimerais bien émigrer.;I would like to emigrate.;;1.0;mot regulier
la veuve;the widow;;1.0;mot regulier
Je voudrais faire couper les pointes.;I would like to have my ends trimmed.;;1.0;mot regulier
le sportif de compétition;the top athlete;;1.0;mot regulier
le verger;the orchard;;1.0;mot regulier
Est-ce que vous pourriez m'apporter une autre serviette, s'il vous plaît ?;Could I have an extra towel, please?;;1.0;mot regulier
satirique;sarcastic;;1.0;mot regulier
la touriste;the tourist;;1.0;mot regulier
Jean haïssait les épinards. (nous haïssons);Jean hated spinach.;;1.0;mot regulier
l'Inde;India;;1.0;mot regulier
le pupitre;the desk;;1.0;mot regulier
Le yaourt est un peu fade.;The yoghurt is a bit flavourless.;;1.0;mot regulier
insolite;unusual;;1.0;mot regulier
jouer à chat;to play tag;;1.0;mot regulier
non bâti;vacant;;1.0;mot regulier
le maître;the teacher (masc.);;1.0;mot regulier
une crise cardiaque;a heart attack;;1.0;mot regulier
le/la porte-drapeau;flag bearer;;1.0;mot regulier
astiquer;to polish;;1.0;mot regulier
le dramaturge;the playwright;;1.0;mot regulier
Je suis publié dans un nouveau journal. (publier);I'm (masc.) being published in a new newspaper.;;1.0;mot regulier
Je ne sais pas quels rideaux choisir…;I don't know which curtains to choose…;;1.0;mot regulier
le squash;squash;;1.0;mot regulier
s'entretenir;to talk;;1.0;mot regulier
le traiteur;caterer;;1.0;mot regulier
J'essayerais bien le manteau.;I would really like to try on this coat.;;1.0;mot regulier
musulman;Muslim (m);;1.0;mot regulier
un baiser;a kiss;;1.0;mot regulier
la tension artérielle;blood pressure;;1.0;mot regulier
bourlinguer;to roam;;1.0;mot regulier
un document vierge;a blank document;;1.0;mot regulier
J'adore ton sourire, il est tellement charmant.;I love your smile, it's so charming.;;1.0;mot regulier
réfléchir à [faire];to consider [doing];;1.0;mot regulier
La cérémonie d'ouverture était sensationnelle !;The opening ceremony was exciting!;;1.0;mot regulier
le flipper;the pinball;;1.0;mot regulier
plier;to fold;;1.0;mot regulier
émouvant;moving (m);;1.0;mot regulier
entreprendre;to undertake;;1.0;mot regulier
En tant que client régulier, vous obtenez sept pour cent de réduction chez nous.;As a regular customer you get a seven percent discount with us.;;1.0;mot regulier
le cochon;the pig;;1.0;mot regulier
Nous avions enquêté pendant des mois. (enquêter);We had investigated for months.;;1.0;mot regulier
une momie;a mummy;;1.0;mot regulier
une chroniqueuse;a columnist (f);;1.0;mot regulier
la fraude électorale;the electoral fraud;;1.0;mot regulier
le poisson pané;battered fish;;1.0;mot regulier
la robe de baptême;the christening gown;;1.0;mot regulier
en perdre son latin;to be unable to make heads or tails of something;;1.0;mot regulier
une pierre tombale;a tombstone / a gravestone;;1.0;mot regulier
Les enfants ne se seraient pas mouillés autant. (mouiller);The children wouldn't have got so wet.;;1.0;mot regulier
la torche;torch;;1.0;mot regulier
épouser;to marry;;1.0;mot regulier
la frange;the fringe;;1.0;mot regulier
rôtir;to roast;;1.0;mot regulier
indigné;upset;;1.0;mot regulier
une taupe;a mole;;1.0;mot regulier
un toboggan;a slide;;1.0;mot regulier
un film à grand succès;a blockbuster;;1.0;mot regulier
une primevère;primrose;;1.0;mot regulier
la valse;the waltz;;1.0;mot regulier
J'ai entassé les cartons de déménagement par là.;I have stacked up the removal boxes over there.;;1.0;mot regulier
l'excursion;the school trip;;1.0;mot regulier
faire glisser;to drag;;1.0;mot regulier
tirer la chasse;to flush;;1.0;mot regulier
un avant-centre;a front striker;;1.0;mot regulier
un/une chauffeur;a driver;;1.0;mot regulier
les lits superposés;the bunk bed;;1.0;mot regulier
le contrôleur;the inspector;;1.0;mot regulier
une aire de jeux;a playground;;1.0;mot regulier
une panne d'électricité;a power cut;;1.0;mot regulier
Se garder de [faire];To refrain from [doing];;1.0;mot regulier
il fait jour;it's light;;1.0;mot regulier
l'avis de risque aux voyageurs;the travel warning;;1.0;mot regulier
les bas;stockings;;1.0;mot regulier
la vendeuse;the seller (fem.);;1.0;mot regulier
Elle entreprend un voyage. (entreprendre);She's going on (lit. undertaking) a journey.;;1.0;mot regulier
bouffon;joke (n.);;1.0;mot regulier
le buffet;the kitchen cupboard;;1.0;mot regulier
un Détraqueur;Dementor;;1.0;mot regulier
figuratif;figurative (m);;1.0;mot regulier
une table de chevet;a bedside table;;1.0;mot regulier
l'orchestre;the stalls;;1.0;mot regulier
La chapelle Sixtine est célèbre pour ses fresques.;The Sistine Chapel is famous for its frescos.;;1.0;mot regulier
en désordre;messy;;1.0;mot regulier
l'hypoglycémie;hypoglycemia;;1.0;mot regulier
guérir;to heal;;1.0;mot regulier
les retrouvailles;the reunion;;1.0;mot regulier
un tuyau;a tip / piece of advice;;1.0;mot regulier
en friche;overgrown;;1.0;mot regulier
jouer à la marelle;to play hopscotch;;1.0;mot regulier
flou;blurry (m);;1.0;mot regulier
un moldu;Muggle (m);;1.0;mot regulier
le balayeur;the street sweeper;;1.0;mot regulier
le buisson;the bush;;1.0;mot regulier
Quand elle est arrivée, nous étions déjà entrés dans le musée. (entrer);When she arrived we (masc.) had already entered the museum.;;1.0;mot regulier
la concurrence;the competition;;1.0;mot regulier
l'avis de décès;the obituaries;;1.0;mot regulier
Y a-t-il un loueur de voitures à l'aéroport ?;Is there a car hire service at the airport?;;1.0;mot regulier
démissionner;to resign;;1.0;mot regulier
laver les vitres;to wash the windows;;1.0;mot regulier
le secrétaire;the secretary (masc.);;1.0;mot regulier
un volant;a driving wheel;;1.0;mot regulier
une planche;a board;;1.0;mot regulier
un coureur cycliste;a racing cyclist;;1.0;mot regulier
Est-ce que la setlist est déjà définie ?;Is the setlist already fixed?;;1.0;mot regulier
le / la destinataire;the recipient;;1.0;mot regulier
or;yet;;1.0;mot regulier
une robe bustier;a strapless dress;;1.0;mot regulier
un piquet de grève;a picket line;;1.0;mot regulier
la brindille;the sprig;;1.0;mot regulier
J'aime la jupe jaune. (jaune);I like the yellow skirt.;;1.0;mot regulier
un grand écart;a split;;1.0;mot regulier
Il y a une séance d'autographes après le concert.;There is an autograph session after the concert.;;1.0;mot regulier
l'eau potable;drinking water;;1.0;mot regulier
rayer;to scratch;;1.0;mot regulier
Il a mangé, puis il est allé travailler.;He ate and then he went to work.;;1.0;mot regulier
le poulpe;the octopus;;1.0;mot regulier
l'ocre;ochre;;1.0;mot regulier
la tondeuse;the lawnmower;;1.0;mot regulier
faire défiler le texte vers le haut;to scroll up;;1.0;mot regulier
un radis;a radish;;1.0;mot regulier
l'inondation;the flood;;1.0;mot regulier
la terre;the soil;;1.0;mot regulier
le savoir;the knowledge;;1.0;mot regulier
un tour;a lap;;1.0;mot regulier
l'en-cas;the snack;;1.0;mot regulier
en satin;(made of) satin;;1.0;mot regulier
la lime à ongles;the nail file;;1.0;mot regulier
un cabinet médical;a medical practice;;1.0;mot regulier
l'habit ne fait pas le moine;don't judge a book based on its cover;;1.0;mot regulier
en outre;besides;;1.0;mot regulier
du cassis;blackcurrant;;1.0;mot regulier
la voile;the sail;;1.0;mot regulier
ragoter;to gossip;;1.0;mot regulier
raide;steep;;1.0;mot regulier
les parents d'accueil;the foster parents;;1.0;mot regulier
un militant;an activist (m);;1.0;mot regulier
la clarinette;clarinet;;1.0;mot regulier
un sommelier;a wine waiter/expert;;1.0;mot regulier
Voulez-vous que je lui transmette un message ?;Would you like me to pass a message on to her?;;1.0;mot regulier
le tout-petit;the toddler;;1.0;mot regulier
neuf;nine;;1.0;mot regulier
le léopard;the leopard;;1.0;mot regulier
un traîneau;a sleigh;;1.0;mot regulier
la théologie;the theology;;1.0;mot regulier
un sandre;pike perch;;1.0;mot regulier
la maison de retraite;the nursing home;;1.0;mot regulier
un pivert;a green woodpecker;;1.0;mot regulier
entretenir;to support;;1.0;mot regulier
un saladier;a salad bowl;;1.0;mot regulier
la nageoire;the fin;;1.0;mot regulier
la branchie;the gill;;1.0;mot regulier
Nous avons dû contracter un crédit pour notre nouvelle voiture.;We had to take out a loan for our new car.;;1.0;mot regulier
le violoncelle;cello;;1.0;mot regulier
la mangrove;the mangrove forest;;1.0;mot regulier
faire appel;to appeal;;1.0;mot regulier
Vous vous êtes réconciliés ? Nous sommes tous soulagés !;Have you made up? We are all relieved!;;1.0;mot regulier
Le samedi, le centre commercial est toujours bondé !;The shopping centre is always very full on a Saturday!;;1.0;mot regulier
J'ai récupéré ma veste au bureau des objets trouvés !;I have picked my jacket up at the lost property office!;;1.0;mot regulier
nutritif;nutritious;;1.0;mot regulier
un imper(méable);mac / raincoat;;1.0;mot regulier
J'ai flâné dans les rues.;I have strolled through the streets.;;1.0;mot regulier
Veuillez laisser un message après le bip sonore.;Please leave a message after the beep!;;1.0;mot regulier
la fleur de l'âge;the prime of life;;1.0;mot regulier
la devise olympique;Olympic motto;;1.0;mot regulier
Serpentard;Slytherin;;1.0;mot regulier
un sac de voyage;a travel bag;;1.0;mot regulier
la corneille;the crow;;1.0;mot regulier
l'évier;the sink;;1.0;mot regulier
J'emmène mes enfants.;I'm bringing my children.;;1.0;mot regulier
une banderole;a banner;;1.0;mot regulier
se les peler;to freeze one's butt off (fam.);;1.0;mot regulier
un / une syndicaliste;a union activist;;1.0;mot regulier
mensuel;monthly;;1.0;mot regulier
un plat à gratin;a casserole dish;;1.0;mot regulier
le balai-brosse;the mop;;1.0;mot regulier
la pommade magique;the flying ointment;;1.0;mot regulier
Le curcuma colore tout en jaune.;Turmeric stains everything yellow.;;1.0;mot regulier
l'enseigne lumineuse;the neon sign;;1.0;mot regulier
les mitaines;fingerless gloves;;1.0;mot regulier
la loge;the box;;1.0;mot regulier
aérer;to air / to ventilate;;1.0;mot regulier
la perruquière;the wig maker (fem.);;1.0;mot regulier
inonder;to flood;;1.0;mot regulier
les festivités;festivities;;1.0;mot regulier
le pouce;the inch;;1.0;mot regulier
le crédit fiscal;the tax rebate;;1.0;mot regulier
la migration;migration;;1.0;mot regulier
le sapin de Noël;the Christmas tree;;1.0;mot regulier
soutenir;to support;;1.0;mot regulier
la pomme de douche;shower head;;1.0;mot regulier
une éclaircie;a sunny spell;;1.0;mot regulier
fruité;fruity;;1.0;mot regulier
les lunettes de protection;the safety goggles;;1.0;mot regulier
le sol;the floor;;1.0;mot regulier
la marée basse;the low tide;;1.0;mot regulier
le maillet;the hammer;;1.0;mot regulier
la crème fouettée;whipped cream;;1.0;mot regulier
une crèche;a manger;;1.0;mot regulier
à but non lucratif;non-profit;;1.0;mot regulier
la planche à découper;chopping board / cutting board;;1.0;mot regulier
une orque;a killer whale;;1.0;mot regulier
un stéthoscope;a stethoscope;;1.0;mot regulier
de la roquette;rocket (salad);;1.0;mot regulier
le sèche-linge;the tumble-dryer;;1.0;mot regulier
la papeterie;the stationer's;;1.0;mot regulier
la pédale d'embrayage;clutch;;1.0;mot regulier
Allons dans un bar ! (aller);Let's go to a bar!;;1.0;mot regulier
une luge;a sled / sledge;;1.0;mot regulier
On retire les feuilles de laurier de la sauce après la cuisson.;You take the bay leaves out of the sauce after cooking.;;1.0;mot regulier
Un projet de loi a été adopté.;A draft bill was passed.;;1.0;mot regulier
la belle-mère;mother-in-law;;1.0;mot regulier
quatre-vingts;eighty;;1.0;mot regulier
la bûche;the log;;1.0;mot regulier
Ces beaux tabourets sont à ma mère. (beau);These beautiful stools belong to my mother.;;1.0;mot regulier
un raz-de-marée;a tidal wave;;1.0;mot regulier
incinérer;to cremate;;1.0;mot regulier
J'étais sûre que tu allais réussir !;I knew you would succeed!;;1.0;mot regulier
remporter;to win;;1.0;mot regulier
un trèfle à quatre feuilles;a four-leaf clover;;1.0;mot regulier
Étienne et sa sœur avaient un chat affectueux. (nous avons);Étienne and his sister had an affectionate cat.;;1.0;mot regulier
la partenaire d'affaires;the business associate;;1.0;mot regulier
luxueux;luxurious;;1.0;mot regulier
Tous mes fichiers ont disparu.;All of my files are gone.;;1.0;mot regulier
le chèque cadeau;the gift voucher;;1.0;mot regulier
un embouteillage;a traffic jam;;1.0;mot regulier
Il m'a fallu le faire.;I had to do it.;;1.0;mot regulier
les Rois Mages;the Three Wise Men;;1.0;mot regulier
être comme un coq en pâte;to be as snug as a bug in a rug;;1.0;mot regulier
la tarte à la citrouille;pumpkin pie;;1.0;mot regulier
la planche à découper;the chopping board;;1.0;mot regulier
faire une machine;to do a wash of clothes;;1.0;mot regulier
la famille élargie;the relatives;;1.0;mot regulier
mâcher;to chew;;1.0;mot regulier
une coquille;a typo;;1.0;mot regulier
la charcuterie;the pork butcher/delicatessen;;1.0;mot regulier
les funérailles;funerals;;1.0;mot regulier
la climatisation;the air conditioner;;1.0;mot regulier
le contrôle de gestion;the management accounting;;1.0;mot regulier
un plongeoir;a diving board;;1.0;mot regulier
le compositeur;the composer (masc.);;1.0;mot regulier
J'aime bien cette couleur, elle te va vraiment bien !;I like this colour, it really suits you!;;1.0;mot regulier
une boule;a bauble / ornament;;1.0;mot regulier
C'est l'heure du goûter !;It's tea time!;;1.0;mot regulier
l'attaché-case;the briefcase;;1.0;mot regulier
faire le deuil;to grieve;;1.0;mot regulier
le regard fixe;the stare;;1.0;mot regulier
l'hébergement;the accommodation;;1.0;mot regulier
une queue de pie;a tail coat;;1.0;mot regulier
Les vacances d'été viennent juste de commencer.;The summer holidays have just started.;;1.0;mot regulier
il y a de l'orage;it's stormy;;1.0;mot regulier
Est-ce que je peux voir l'emplacement ?;Can I take a look at the site?;;1.0;mot regulier
en croûte;in a pastry crust;;1.0;mot regulier
J'admire tout ce que vous savez sur la vie de l'auteur.;I admire all what you know about the author's life.;;1.0;mot regulier
le péage;the toll;;1.0;mot regulier
la pointure;size (shoes);;1.0;mot regulier
le geste;the gesture;;1.0;mot regulier
le bus scolaire;the school bus;;1.0;mot regulier
une pelle;a spade / a shovel;;1.0;mot regulier
Le vin semble être bouchonné.;The wine seems corked.;;1.0;mot regulier
novembre;November;;1.0;mot regulier
Montrez-moi les papiers du véhicule, s'il vous plaît.;Can I see the car documentation please?;;1.0;mot regulier
un hibou;a male owl;;1.0;mot regulier
américaine (f);American;;1.0;mot regulier
un pamplemousse;grapefruit;;1.0;mot regulier
